about,prefLabel,altLabel,broader,facetaAcronimo,faceta
federal,Federal,,,,Federal
estadual,Estadual,,,,Estadual
municipal,Municipal,,,,Municipal
senado.federal,"Senado Federal",SF,,SF – Senado Federal,Federal::Legislativo::Senado Federal
camara.deputados,"Câmara dos Deputados",CD,,CD – Câmara dos Deputados,Federal::Legislativo::Câmara dos Deputados
tribunal.contas.uniao,"Tribunal de Contas da União",TCU,,TCU – Tribunal de Contas da União,Federal::Legislativo::Tribunal de Contas da União
supremo.tribunal.federal,"Supremo Tribunal Federal",STF,,STF – Supremo Tribunal Federal,Federal::Judiciário::Supremo Tribunal Federal
superior.tribunal.justica,"Superior Tribunal de Justiça",STJ,,STJ – Superior Tribunal de Justiça,Federal::Judiciário::Superior Tribunal de Justiça
tribunal.superior.eleitoral,"Tribunal Superior Eleitoral",TSE,,TSE – Tribunal Superior Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral
tribunal.superior.trabalho,"Tribunal Superior do Trabalho",TST,,TST – Tribunal Superior do Trabalho,Federal::Judiciário::Tribunal Superior do Trabalho
superior.tribunal.militar,"Superior Tribunal Militar",STM,,STM – Superior Tribunal Militar,Federal::Judiciário::Superior Tribunal Militar
advocacia.geral.uniao,"Advocacia-Geral da União",AGU,,AGU – Advocacia-Geral da União,Federal::Advocacia-Geral da União
ministerio.justica,"Ministério da Justiça",MJ,,MJ – Ministério da Justiça,Federal::Executivo::Ministério da Justiça
procuradoria.geral.republica,"Procuradoria Geral da República",PGR,,PGR – Procuradoria Geral da República,Federal::Procuradoria Geral da República
congresso.nacional,"Congresso Nacional",CN,,CN – Congresso Nacional,Federal::Legislativo::Congresso Nacional
assembleia.legislativa,"Assembléia Legislativa",AL,,AL – Assembléia Legislativa,Estadual::Legislativo::Assembléia Legislativa
camara.municipal,"Câmara Municipal",CM,,CM – Câmara Municipal,Municipal::Legislativo::Câmara Municipal
camara.legislativa,"Câmara Legislativa","Câmara Distrital",,CL – Câmara Legislativa,Distrital::Legislativo::Câmara Legislativa
imprensa.nacional,"Imprensa Nacional",IN,,IN – Imprensa Nacional,Federal::Executivo::Imprensa Nacional
tribunal.contas.uniao;plenario,"Tribunal de Contas da União. Plenário",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::Plenário
tribunal.contas.uniao;camara.1,"Tribunal de Contas da União. 1ª Câmara",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::1ª Câmara
tribunal.contas.uniao;camara.2,"Tribunal de Contas da União. 2ª Câmara",,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::2ª Câmara
distrital,Distrital,,,,Distrital
procuradoria.geral.republica,"Procuradoria Geral da República",PGR,,PGR – Procuradoria Geral da República,Federal::Ministério Público da União::Procuradoria Geral da República
prefeitura,Prefeitura,,,,Municipal::Executivo::Prefeitura
tribunal.superior.eleitoral;plenario,"Tribunal Superior Eleitoral. Plenário",,#tribunal.superior.eleitoral,,Federal::Judiciário::Tribunal Superior Eleitoral::Plenário
ministerio.fazenda,"Ministério da Fazenda",MF,,MF – Ministério da Fazenda,Federal::Executivo::Ministério da Fazenda
ministerio.fazenda;secretaria.receita.federal,"Ministério da Fazenda. Secretaria da Receita Federal",SRF,#ministerio.fazenda,SRF – Secretaria da Receita Federal,Federal::Executivo::Ministério da Fazenda::Secretaria da Receita Federal
"ministerio.fazenda;secretaria.receita.federal,tribunal.superior.eleitoral","Ministério da Fazenda, Secretaria da Receita Federal; Tribunal Superior Eleitoral",,,,
tribunal.superior.eleitoral;corregedoria.geral.eleitoral,"Tribunal Superior Eleitoral. Corregedoria-Geral Eleitoral",CGE,#tribunal.superior.eleitoral,CGE – Corregedoria-Geral Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral::Corregedoria-Geral Eleitoral
banco.central,"Banco Central","BC, BACEN, BCB",,"BC, BACEN, BCB – Banco Central",Federal::Executivo::Banco Central
"tribunal.superior.eleitoral;plenario,tribunal.superior.eleitoral","Tribunal Superior Eleitoral, Plenário; Tribunal Superior Eleitoral",,,,
controladoria.geral.uniao,"Controladoria-Geral da União",CGU,,CGU – Controladoria-Geral da União,Federal::Executivo::Controladoria-Geral da União
imprensa.oficial,"Imprensa Oficial",,,,Estadual::Executivo::Imprensa Oficial
ministerio.marinha,"Ministério da Marinha",,,,Federal::Executivo::Ministério da Marinha
ministerio.exercito,"Minstério do Exercito",,,,Federal::Executivo::Minstério do Exercito
assembleia.nacional.constituinte,"Assembléia Nacional Constituinte",,,,Federal::Assembléia Nacional Constituinte
tribunal.superior.trabalho;tribunal.pleno,"Tribunal Superior do Trabalho. Tribunal Pleno",TP,#tribunal.superior.trabalho,TP – Tribunal Pleno,Federal::Judiciário::Tribunal Superior do Trabalho::Tribunal Pleno
tribunal.superior.trabalho;turma.1,"Tribunal Superior do Trabalho. 1ª Turma",1T,#tribunal.superior.trabalho,1T – 1ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::1ª Turma
tribunal.superior.trabalho;turma.2,"Tribunal Superior do Trabalho. 2ª Turma",2T,#tribunal.superior.trabalho,2T – 2ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::2ª Turma
tribunal.superior.trabalho;turma.3,"Tribunal Superior do Trabalho. 3ª Turma",3T,#tribunal.superior.trabalho,3T – 3ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::3ª Turma
tribunal.superior.trabalho;turma.4,"Tribunal Superior do Trabalho. 4ª Turma",4T,#tribunal.superior.trabalho,4T – 4ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::4ª Turma
tribunal.superior.trabalho;turma.5,"Tribunal Superior do Trabalho. 5ª Turma",5T,#tribunal.superior.trabalho,5T – 5ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::5ª Turma
tribunal.superior.trabalho;turma.6,"Tribunal Superior do Trabalho. 6ª Turma",6T,#tribunal.superior.trabalho,6T – 6ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::6ª Turma
tribunal.superior.trabalho;turma.7,"Tribunal Superior do Trabalho. 7ª Turma",7T,#tribunal.superior.trabalho,7T – 7ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::7ª Turma
tribunal.superior.trabalho;turma.8,"Tribunal Superior do Trabalho. 8ª Turma",8T,#tribunal.superior.trabalho,8T – 8ª Turma,Federal::Judiciário::Tribunal Superior do Trabalho::8ª Turma
tribunal.superior.trabalho;orgao.especial,"Tribunal Superior do Trabalho. Órgão Especial",OE,#tribunal.superior.trabalho,OE – Órgão Especial,Federal::Judiciário::Tribunal Superior do Trabalho::Órgão Especial
tribunal.superior.trabalho;secao.dissidios.coletivos,"Tribunal Superior do Trabalho. Seção de Dissídios Coletivos",SDC,#tribunal.superior.trabalho,SDC – Seção de Dissídios Coletivos,Federal::Judiciário::Tribunal Superior do Trabalho::Seção de Dissídios Coletivos
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.1,"Tribunal Superior do Trabalho. Subseção Especializada em Dissídios Individuais 1",SBDI-1,#tribunal.superior.trabalho,SBDI-1 – Subseção Especializada em Dissídios Individuais 1,Federal::Judiciário::Tribunal Superior do Trabalho::Subseção Especializada em Dissídios Individuais 1
tribunal.superior.trabalho;subsecao.especializada.dissidios.individuais.2,"Tribunal Superior do Trabalho. Subseção Especializada em Dissídios Individuais 2",SBDI-2,#tribunal.superior.trabalho,SBDI-2 – Subseção Especializada em Dissídios Individuais 2,Federal::Judiciário::Tribunal Superior do Trabalho::Subseção Especializada em Dissídios Individuais 2
supremo.tribunal.federal;plenario,"Supremo Tribunal Federal. Plenário",,#supremo.tribunal.federal,,Federal::Judiciário::Supremo Tribunal Federal::Plenário
