id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
1,br,Brasil,pt-BR,,,,Brasil
16,br;sao.paulo,"São Paulo",pt-BR,SP,#br,SP – São Paulo,Estados::São Paulo
17,br;sao.paulo;campinas,"Campinas - SP",pt-BR,,#br;sao.paulo,,Municípios::Campinas - SP
18,br;sao.paulo;sao.carlos,"São Carlos - SP",pt-BR,,#br;sao.paulo,,Municípios::São Carlos - SP
20,br;acre,Acre,pt-BR,AC,#br,AC – Acre,Estados::Acre
21,br;rondonia,Rondônia,pt-BR,RO,#br,RO – Rondônia,Estados::Rondônia
22,br;parana,Paraná,pt-BR,PR,#br,PR – Paraná,Estados::Paraná
23,br;rio.grande.sul,"Rio Grande do Sul",pt-BR,RS,#br,RS – Rio Grande do Sul,Estados::Rio Grande do Sul
27,br;distrito.federal,"Distrito Federal",pt-BR,DF,#br,DF – Distrito Federal,Distrito Federal
28,br;parana;apucarana,"Apucarana - PR",pt-BR,,#br;parana,,Municípios::Apucarana - PR
29,br;rio.grande.sul;agudo,"Agudo - RS",pt-BR,,#br;rio.grande.sul,,Municípios::Agudo - RS
30,br;minas.gerais,"Minas Gerais",pt-BR,MG,#br,MG – Minas Gerais,Estados::Minas Gerais
31,br;minas.gerais;carneirinho,"Carneirinho - MG",pt-BR,,#br;minas.gerais,,Municípios::Carneirinho - MG
32,br;minas.gerais;divinopolis,"Divinópolis - MG",pt-BR,,#br;minas.gerais,,Municípios::Divinópolis - MG
33,br;tocantins,Tocantins,pt-BR,TO,#br,TO – Tocantins,Municípios::Tocantins
34,br;espirito.santo,"Espírito Santo",pt-BR,ES,#br,ES – Espírito Santo,Estados::Espírito Santo
35,br;espirito.santo;cachoeiro.itapemirim,"Cachoeiro de Itapemirim - ES",pt-BR,,#br;espirito.santo,,Municípios::Cachoeiro de Itapemirim - ES
36,br;sao.paulo;catanduva,"Catanduva - SP",pt-BR,,#br;sao.paulo,,Municípios::Catanduva - SP
37,br;paraiba,Paraíba,pt-BR,PB,#br,PB – Paraíba,Estados::Paraíba
38,br;paraiba;joao.pessoa,"João Pessoa - PB",pt-BR,,#br;paraiba,,Municípios::João Pessoa - PB
39,br;goias,Goiás,pt-BR,GO,#br,GO – Goiás,Estados::Goiás
40,br;goias;jatai,"Jataí - GO",pt-BR,,#br;goias,,Municípios::Jataí - GO
57,br;justica.eleitoral,"Justiça Eleitoral",pt-BR,,#br,,Justiça Eleitoral
58,br;justica.eleitoral;paraiba,Paraíba,pt-BR,PB,#br;justica.eleitoral,PB – Paraíba,Paraíba
59,br;justica.trabalho,"Justiça Trabalho",pt-BR,,#br,,Justiça Trabalho
60,br;justica.trabalho;regiao.13,"13ª Região - Paraíba",pt-BR,TRT13,#br;justica.trabalho,TRT13 – 13ª Região - Paraíba,Brasil::Justiça do Trabalho::13ª Região - Paraíba
61,br;justica.eleitoral;paraiba;zona.22,"22ª Zona",pt-BR,,#br;justica.eleitoral;paraiba,,22ª Zona
62,br;justica.federal,"Justiça Federal",pt-BR,,#br,,Justiça Federal
63,br;justica.federal;regiao.1,"1ª Região",pt-BR,,#br;justica.federal,,1ª Região
64,br;justica.federal;regiao.1;secao.judiciaria,"Seção Judiciária",pt-BR,,#br;justica.federal;regiao.1,,Seção Judiciária
65,br;justica.federal;regiao.1;secao.judiciaria;goias,Goiás,pt-BR,GO,#br;justica.federal;regiao.1;secao.judiciaria,GO – Goiás,Goiás
66,br;amapa,Amapá,pt-BR,AP,#br,AP – Amapá,Amapá
67,br;amapa;justica.estadual,"Justiça Estadual",pt-BR,,#br;amapa,,Justiça Estadual
68,br;amapa;justica.estadual;comarca,Comarca,pt-BR,,#br;amapa;justica.estadual,,Comarca
69,br;amapa;macapa,"Macapá - AP",pt-BR,,#br;amapa,,Municípios::Macapá - AP
131,br;minas.gerais;abadia.dourados,"Abadia dos Dourados - MG",pt-BR,,#br;minas.gerais,,Municípios::Abadia dos Dourados - MG
132,br;minas.gerais;abaete,"Abaeté - MG",pt-BR,,#br;minas.gerais,,Municípios::Abaeté - MG
133,br;minas.gerais;abre.campo,"Abre Campo - MG",pt-BR,,#br;minas.gerais,,Municípios::Abre Campo - MG
134,br;minas.gerais;acaiaca,"Acaiaca - MG",pt-BR,,#br;minas.gerais,,Municípios::Acaiaca - MG
135,br;minas.gerais;acucena,"Açucena - MG",pt-BR,,#br;minas.gerais,,Municípios::Açucena - MG
136,br;minas.gerais;agua.boa,"Água Boa - MG",pt-BR,,#br;minas.gerais,,Municípios::Água Boa - MG
137,br;minas.gerais;agua.comprida,"Água Comprida - MG",pt-BR,,#br;minas.gerais,,Municípios::Água Comprida - MG
138,br;minas.gerais;aguanil,"Aguanil - MG",pt-BR,,#br;minas.gerais,,Municípios::Aguanil - MG
139,br;minas.gerais;aguas.formosas,"Águas Formosas - MG",pt-BR,,#br;minas.gerais,,Municípios::Águas Formosas - MG
140,br;minas.gerais;aguas.vermelhas,"Águas Vermelhas - MG",pt-BR,,#br;minas.gerais,,Municípios::Águas Vermelhas - MG
141,br;minas.gerais;aimores,"Aimorés - MG",pt-BR,,#br;minas.gerais,,Municípios::Aimorés - MG
142,br;minas.gerais;aiuruoca,"Aiuruoca - MG",pt-BR,,#br;minas.gerais,,Municípios::Aiuruoca - MG
143,br;minas.gerais;alagoa,"Alagoa - MG",pt-BR,,#br;minas.gerais,,Municípios::Alagoa - MG
144,br;minas.gerais;albertina,"Albertina - MG",pt-BR,,#br;minas.gerais,,Municípios::Albertina - MG
145,br;minas.gerais;alem.paraiba,"Além Paraíba - MG",pt-BR,,#br;minas.gerais,,Municípios::Além Paraíba - MG
146,br;minas.gerais;alfenas,"Alfenas - MG",pt-BR,,#br;minas.gerais,,Municípios::Alfenas - MG
147,br;minas.gerais;alfredo.vasconcelos,"Alfredo Vasconcelos - MG",pt-BR,,#br;minas.gerais,,Municípios::Alfredo Vasconcelos - MG
148,br;minas.gerais;almenara,"Almenara - MG",pt-BR,,#br;minas.gerais,,Municípios::Almenara - MG
149,br;minas.gerais;alpercata,"Alpercata - MG",pt-BR,,#br;minas.gerais,,Municípios::Alpercata - MG
150,br;minas.gerais;alpinopolis,"Alpinópolis - MG",pt-BR,,#br;minas.gerais,,Municípios::Alpinópolis - MG
