id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
1,lei,Lei,pt-BR,"Lei Ordinária",,,Legislação::Lei
2,decreto,Decreto,pt-BR,DEC,,DEC – Decreto,Legislação::Decreto
3,projeto.lei,"Projeto de Lei",pt-BR,,,,Proposições Legislativas::Projeto de Lei
4,projeto.lei.complementar,"Projeto de Lei Complementar",pt-BR,,,,Proposições Legislativas::Projeto de Lei Complementar
5,proposta.emenda.constitucional,"Proposta de Emenda Constitucional",pt-BR,,,,Proposições Legislativas::Proposta de Emenda Constitucional
6,projeto.lei.conversao,"Projeto de Lei de Conversão",pt-BR,,,,Proposições Legislativas::Projeto de Lei de Conversão
7,projeto.decreto.legislativo,"Projeto de Decreto Legislativo",pt-BR,,,,Proposições Legislativas::Projeto de Decreto Legislativo
8,emenda,Emenda,pt-BR,,,,Proposições Legislativas::Emenda
9,constituicao,Constituição,pt-BR,,,,Legislação::Constituição
10,emenda.constitucional,"Emenda Constitucional",pt-BR,EMC,,EMC – Emenda Constitucional,Legislação::Emenda Constitucional
11,lei.complementar,"Lei Complementar",pt-BR,LCP,,LCP – Lei Complementar,Legislação::Lei Complementar
12,lei.delegada,"Lei Delegada",pt-BR,,,,Legislação::Lei Delegada
13,decreto.lei,Decreto-Lei,pt-BR,,,,Legislação::Decreto-Lei
14,medida.provisoria,"Medida Provisória",pt-BR,MPV,,MPV – Medida Provisória,Legislação::Medida Provisória
15,resolucao,Resolução,pt-BR,RES,,RES – Resolução,Legislação::Resolução
16,portaria,Portaria,pt-BR,,,PRT – Portaria,Legislação::Portaria
17,instrucao.normativa,"Instrução Normativa",pt-BR,IN,,IN – Instrução Normativa,Legislação::Instrução Normativa
18,acordao,Acórdão,pt-BR,AC,,AC – Acórdão,Jurisprudência::Acórdão
19,sumula,Súmula,pt-BR,SUM,,SUM – Súmula,Jurisprudência::Súmula
20,sumula.vinculante,"Súmula Vinculante",pt-BR,SUMV,,SUMV – Súmula Vinculante,Jurisprudência::Súmula Vinculante
21,decisao.monocratica,"Decisão Monocrática",pt-BR,PRT,,,Jurisprudência::Decisão Monocrática
22,br:senado.federal:projeto.lei;plc,PLC,pt-BR,"Projeto de Lei da Câmara",#projeto.lei,PLC – Projeto de Lei da Câmara,Proposições Legislativas::Projeto&#160;de&#160;Lei
23,publicacao.oficial,"Publicação Oficial",pt-BR,,,,Publicação Oficial
24,publicacao.oficial;diario.oficial.uniao,"Diário Oficial da União",pt-BR,DOU,#publicacao.oficial,DOU – Diário Oficial da União,Publicação Oficial::Diário Oficial da União
25,publicacao.oficial;diario.senado.federal,"Diário do Senado Federal",pt-BR,DSF,#publicacao.oficial,DSF – Diário do Senado Federal,Publicação Oficial::Diário do Senado Federal
26,publicacao.oficial;diario.congresso.nacional,"Diário do Congresso Nacional",pt-BR,DCN,#publicacao.oficial,DCN – Diário do Congresso Nacional,Publicação Oficial::Diário do Congresso Nacional
